user_id,email_creates_30d,email_publishes_30d,email_tests_30d,total_builder_events_30d
151349618,6,5,0,11
91779333,7,5,0,12
119898854,7,6,0,13
138519385,8,9,0,17
38655109,7,4,0,11
162606962,9,2,3,14
51209537,7,6,0,13
73227778,12,12,0,24
169016774,11,5,0,16
84454341,10,9,0,19
144091345,10,2,0,12
143623329,9,6,0,15
135620458,9,4,0,13
183665478,9,6,0,15
100780714,9,9,0,18
60065157,9,8,0,17
80924090,11,7,0,18
172961401,10,8,0,18
97434157,14,10,0,24
74378222,12,12,0,24
55445393,12,8,0,20
196840666,12,10,0,22
149483666,13,12,0,25
158904234,16,18,0,34
142503293,15,8,0,23
82886262,14,14,0,28
126705418,17,20,0,37
53801757,20,13,0,33
111504518,17,16,0,33
184612346,16,16,0,32
67834609,17,15,0,32
190029658,17,7,0,24
89515849,22,20,0,42
36593645,18,16,0,34
128243330,17,17,0,34
47651249,19,19,0,38
174919017,18,13,0,31
133750234,18,11,0,29
97125761,18,10,0,28
100417646,20,14,0,34
185700438,21,21,0,42
172035921,21,12,0,33
190906942,21,19,0,40
175173349,21,15,1,37
163382426,26,22,0,48
102024914,24,24,0,48
157100798,24,2,10,36
38495733,45,33,0,78
176323693,38,25,0,63
68293157,29,25,0,54
192212774,27,26,0,53
77728434,31,28,0,59
85784569,39,38,0,77
119377114,32,32,0,64
105893574,34,30,0,64
50126441,31,29,0,60
105970706,30,30,0,60
111610358,32,32,0,64
48665105,37,27,3,67
54107813,32,23,0,55
87510437,32,29,0,61
191753458,33,33,0,66
140468277,33,19,8,60
119502710,38,16,18,72
158145570,33,37,2,72
77336174,35,25,2,62
71377158,36,16,0,52
71099013,46,27,3,76
158021802,43,44,0,87
194913454,42,26,0,68
100333086,39,38,0,77
195406254,42,32,0,74
35164189,41,35,0,76
150911710,43,40,0,83
90006869,43,40,0,83
134232994,45,43,0,88
140121577,45,34,0,79
187433442,67,46,0,113
190893382,47,25,1,73
152192462,53,36,0,89
55608673,59,43,0,102
35477729,52,50,0,102
100362978,80,54,6,140
201208790,53,35,4,92
56187809,62,54,0,116
189669778,56,46,0,102
113444542,66,55,0,121
183387574,57,50,0,107
36717045,64,62,0,126
68674029,72,46,0,118
42999129,78,69,0,147
76850266,78,77,0,155
147160506,87,84,0,171
190140306,79,45,0,124
119814066,79,60,4,143
71455114,86,68,0,154
56924917,93,62,1,156
97403873,92,47,0,139
149931458,89,88,1,178
149215674,92,60,9,161
103945654,92,20,1,113
157512106,93,47,0,140
170845753,106,65,0,171
136333941,108,78,18,204
73705254,116,52,25,193
160839094,147,116,0,263
52439837,155,124,3,282
38958122,177,159,0,336
185584746,188,171,10,369
93108529,315,397,1,713
142272749,714,459,164,1337
89071805,1,1,0,2
198938374,3,1,1,5
72518226,0,1,0,1
62697793,1,1,0,2
157417170,1,2,0,3
102375574,5,3,0,8
84775441,4,2,0,6
108445706,2,2,0,4
136871061,18,15,0,33
132803922,3,4,0,7
106933626,4,3,0,7
105183070,8,3,5,16
89451157,5,5,0,10
104259682,5,4,0,9
203537526,19,4,0,23
135111294,5,4,0,9
108681786,5,4,0,9
136944465,3,4,0,7
110313226,5,5,0,10
144044933,6,5,0,11
119155414,8,5,0,13
104343242,5,5,0,10
111846066,5,5,0,10
105529670,4,5,0,9
136229514,3,5,1,9
126669150,9,5,0,14
90782453,3,5,0,8
151052346,12,5,0,17
145018370,7,6,0,13
85165273,5,6,0,11
116775690,5,6,0,11
103747518,7,6,0,13
37895941,26,7,0,33
100581538,7,7,0,14
66709449,6,7,0,13
99232613,10,8,0,18
120095266,8,7,0,15
39112882,14,7,0,21
78165302,11,9,2,22
101462002,14,10,0,24
64143941,16,8,1,25
110353126,14,8,1,23
123800698,13,8,0,21
37982177,8,8,0,16
171904017,15,10,0,25
132626682,9,8,0,17
71563150,11,9,0,20
36701393,9,9,0,18
142189657,7,9,0,16
165988234,20,9,2,31
183411462,7,10,0,17
177474981,84,62,0,146
38366761,26,11,9,46
36536745,13,13,0,26
45195413,15,12,0,27
63819361,12,12,0,24
165033998,12,12,0,24
45326049,16,12,0,28
77292514,25,12,1,38
38193397,18,13,1,32
129964510,18,13,0,31
91430401,14,13,0,27
65869621,39,14,11,64
51577185,20,18,0,38
55614213,17,15,1,33
97105977,20,14,0,34
43841701,25,15,0,40
115427826,29,20,0,49
41980893,21,16,0,37
130968062,17,16,0,33
208550134,92,18,14,124
40410577,24,18,0,42
99117129,24,16,0,40
67361457,16,17,0,33
130704626,23,17,0,40
54710253,17,17,0,34
142107861,48,37,0,85
122681878,36,20,0,56
172346421,21,18,0,39
170043565,68,24,0,92
62280329,48,39,0,87
47778429,28,20,1,49
143909653,20,20,0,40
118710462,40,21,0,61
51843649,105,48,3,156
115677722,39,21,0,60
140066449,47,37,0,84
64659209,25,25,0,50
62859297,26,21,0,47
59508861,65,23,1,89
95597065,44,31,0,75
115697858,26,23,0,49
99982806,30,24,0,54
115428262,43,27,1,71
128995418,51,26,0,77
184226202,32,25,0,57
90405241,28,29,0,57
168547574,26,30,0,56
149858066,30,29,0,59
91133373,62,31,1,94
121918394,29,31,0,60
120150010,31,30,0,61
53726421,45,32,0,77
38858885,44,36,0,80
120504770,59,40,3,102
117874706,49,38,0,87
116610218,49,42,2,93
130894146,47,44,1,92
173482245,62,43,1,106
89042209,42,43,0,85
82225150,61,46,3,110
74453066,56,46,3,105
172704289,63,47,2,112
172298301,57,45,4,106
129013298,62,48,1,111
164146774,77,51,11,139
178483982,55,52,0,107
68420721,71,60,0,131
40508765,68,63,6,137
51358789,111,59,2,172
175028577,74,60,0,134
84457341,73,67,3,143
164135254,89,70,0,159
54407837,85,69,0,154
49718933,120,77,4,201
35769749,89,77,0,166
58656937,106,83,3,192
127830466,98,87,1,186
108283138,113,98,0,211
146099630,128,93,1,222
180026070,103,90,2,195
181952690,96,91,2,189
105645638,192,127,0,319
140322057,156,151,0,307
40351877,236,154,65,455
71268514,181,159,3,343
45532669,204,178,17,399
93518021,185,183,3,371
68632601,320,310,6,636
159893326,1288,1070,4,2362
54360509,44,17,5,66
40139309,6,3,0,9
66755393,19,19,0,38
157411150,32,34,0,66
95667129,30,30,0,60
59207537,102,92,0,194
69864317,96,95,0,191
101559886,137,137,0,274
203009106,31,23,0,54
75834658,36,33,0,69
126963962,54,41,0,95
161091862,82,64,1,147
50928561,7,11,0,18
58530077,113,77,0,190
46253525,85,59,0,144
249918223,3,2,0,5
251316051,14,10,2,26
250318935,7,4,0,11
250152531,35,19,0,54
250529099,39,9,1,49
251803415,1,0,0,1
251776043,9,0,2,11
248705363,1,1,0,2
249253126,12,3,1,16
248976041,7,3,0,10
248452683,14,13,0,27
247735893,6,1,1,8
249105114,17,11,0,28
248075631,25,17,0,42
247276695,38,22,6,66
248240409,82,53,0,135
247565664,94,77,0,171
246815662,20,15,0,35
4017070,3,4,0,7
1330765,3,0,0,3
13154551,4,4,0,8
4969538,8,6,0,14
17253083,9,8,0,17
14887303,11,11,0,22
15941167,32,28,0,60
11845659,1,0,0,1
36456137,2,2,0,4
25404231,2,2,0,4
6742366,3,1,0,4
77464910,6,5,0,11
21224688,1,1,0,2
75295082,4,1,0,5
55081661,2,1,0,3
18675099,4,4,0,8
64021125,1,0,0,1
70055773,11,4,0,15
24645907,0,1,0,1
59822997,3,1,1,5
65896697,17,15,1,33
33033958,5,3,1,9
23670431,9,2,1,12
47686529,2,2,0,4
44766033,2,3,0,5
19543647,2,2,0,4
10129923,2,2,0,4
56320225,3,2,0,5
59759597,2,2,0,4
29103819,3,2,0,5
4092278,2,2,0,4
16052571,6,2,0,8
55508205,3,2,0,5
47564629,3,2,0,5
46395301,19,17,0,36
5219302,5,2,0,7
23761219,1,2,0,3
44970577,18,3,13,34
27603291,3,3,0,6
6315550,3,3,0,6
21512167,3,3,0,6
24495691,3,1,0,4
20468019,3,1,0,4
40731321,7,7,0,14
59376629,15,12,0,27
25036167,5,4,0,9
14138779,3,3,0,6
27218755,7,3,4,14
38041125,4,3,0,7
51337961,7,3,0,10
45858469,7,3,0,10
48385677,6,3,0,9
43343569,10,11,0,21
61591129,3,4,0,7
62839705,6,3,0,9
59734421,13,2,4,19
64320609,28,13,9,50
43471893,4,2,0,6
49096237,4,2,1,7
29416943,5,4,0,9
55142921,4,4,0,8
35289257,4,5,0,9
43936981,4,3,0,7
32930658,3,4,0,7
33885269,7,6,0,13
69535185,7,6,0,13
27391659,8,6,0,14
26272171,4,4,0,8
51025641,7,5,0,12
20352144,6,5,0,11
39783765,7,3,0,10
43877001,6,5,0,11
34944909,6,5,0,11
66653577,5,2,0,7
51244089,7,6,0,13
59316821,5,6,0,11
67969005,7,5,0,12
22751795,11,5,4,20
74781758,4,7,1,12
32918802,10,6,0,16
41604861,5,5,0,10
30626535,5,8,0,13
36286801,7,6,0,13
55951001,9,6,0,15
24135295,8,8,0,16
16487903,6,5,0,11
50329405,7,5,0,12
77967954,8,4,0,12
71884862,7,4,0,11
69174289,6,6,0,12
56316917,6,2,0,8
55422649,6,6,0,12
56471281,8,7,0,15
39240341,13,11,0,24
65105005,9,7,0,16
