user_id,email_creates_90d,email_publishes_90d,email_tests_90d,ca_template_creates_90d,ai_content_creates_90d,sms_creates_90d,sms_publishes_90d,automation_creates_90d,automation_publishes_90d,builder_active_days_90d,total_builder_events_90d
3483442,47,41,0,0,0,0,0,0,0,21,88
5469994,51,42,0,0,0,0,0,0,0,38,93
863741,75,50,0,0,0,0,0,0,0,37,125
5806170,78,66,0,0,0,0,0,0,0,29,144
1135689,90,74,0,0,0,0,0,0,0,45,164
2189689,73,58,0,0,0,0,0,0,0,58,131
3051830,201,110,3,0,0,0,0,0,0,64,314
4760478,304,202,31,0,0,0,0,0,0,44,537
248949046,49,33,0,0,0,0,0,0,0,46,82
248051445,13,2,5,0,0,0,0,0,0,8,20
62389,30,28,0,0,0,0,0,0,0,35,58
3685386,68,49,0,0,0,0,0,0,0,51,117
3533570,62,38,0,0,0,0,0,0,0,41,100
65153,101,81,0,0,0,0,0,0,0,56,182
27060,214,177,0,0,0,0,0,0,0,89,391
247834542,7,4,3,0,0,0,0,0,0,6,14
242456450,20,12,0,0,0,0,0,0,0,22,32
237359442,25,16,1,0,0,0,0,0,0,20,42
215052398,40,36,0,0,0,0,0,0,0,15,76
245885878,95,49,3,0,0,0,0,0,0,47,147
216556230,63,63,0,0,0,0,0,0,0,24,126
247547194,96,69,0,0,0,0,0,0,0,47,165
237263954,128,112,0,0,0,0,0,0,0,47,240
249308199,7,2,0,0,0,0,0,0,0,4,9
198361014,7,5,0,1,0,0,0,0,0,9,12
238454114,8,6,0,0,0,0,0,0,0,9,14
231164366,7,4,0,0,0,0,0,0,0,4,11
198077542,14,9,2,0,0,0,0,0,0,11,25
203854674,19,10,0,0,0,0,0,0,0,22,29
207004038,22,20,0,0,0,0,0,0,0,25,42
248032466,33,22,0,0,0,0,0,0,0,29,55
249092222,15,8,0,0,0,0,0,0,0,17,23
224176630,21,14,0,0,0,0,0,0,0,20,35
205365438,20,18,0,0,0,0,0,0,0,11,38
216789190,33,8,23,0,0,0,0,0,0,15,64
210626122,68,65,0,0,0,0,0,0,0,48,133
227205026,64,48,0,0,28,0,0,0,0,47,112
224476102,67,52,0,0,0,0,0,0,0,42,119
242584838,104,83,0,0,0,0,0,0,0,52,187
199152842,137,116,0,0,4,0,0,0,0,69,253
235175562,813,665,3,0,0,0,0,0,0,84,1481
158309770,3,4,0,0,0,0,0,0,0,7,7
132216114,8,7,0,0,0,0,0,0,0,7,15
195418026,14,11,1,0,0,0,0,0,0,14,26
228144462,12,12,0,0,0,0,0,0,0,12,24
106442174,15,13,0,0,0,0,0,0,0,13,28
102949086,34,32,0,0,0,0,0,0,0,38,66
101337214,98,90,0,0,0,0,0,0,0,51,188
128243330,50,46,0,0,0,0,0,0,0,37,96
244354886,88,73,7,0,0,0,0,0,0,59,168
175015709,201,185,0,0,0,0,0,0,0,66,386
109865874,124,82,0,0,0,0,0,0,0,55,206
194913454,102,65,0,3,20,0,0,0,0,59,167
