customer_count,total_mrr,avg_mrr,annualized_revenue,avg_completion_rate,avg_abandonment_rate,avg_friction_score,pct_high_friction,pct_creates_no_publish,avg_email_creates_90d,avg_email_publishes_90d,total_eligible_initiatives,dimension,value
1088.0,752018.944999984,691.1938832720441,9024227.339999808,0.6399110667234109,0.36008893327658903,0.15920101448710622,0.04595588235294118,0.04595588235294118,48.90992647058823,34.548713235294116,4.104779411764706,country_group,Nordics
1388.0,751203.3049999971,541.2127557636867,9014439.659999967,0.5697314904226246,0.4302685095773754,0.19934083322576285,0.07492795389048991,0.07492795389048991,52.82780979827089,37.89913544668588,3.8220461095100866,tenure_band,6-12mo
1198.0,680720.3933333319,568.2140178074557,8168644.719999983,0.6435390759358653,0.35646092406413465,0.15911191553550363,0.04674457429048414,0.04674457429048414,39.58597662771285,29.5008347245409,4.045075125208681,country_group,Netherlands
571.0,517907.203888891,907.0178702082154,6214886.446666691,0.491339010915669,0.508660989084331,0.2607323465969548,0.1646234676007005,0.1646234676007005,52.695271453590195,40.250437828371275,3.809106830122592,package,other
665.0,423695.75166665704,637.1364686716647,5084349.019999884,0.6303569437080849,0.36964305629191513,0.16454895184007434,0.0481203007518797,0.0481203007518797,58.430075187969926,33.60300751879699,4.111278195488722,country_group,Belgium
234.0,393158.55666666897,1680.1647720797819,4717902.680000028,0.7195773723790753,0.2804226276209247,0.1121690510483699,0.0,0.0,51.55982905982906,39.55555555555556,4.02991452991453,primary_plan_type,payg
695.0,336710.214583337,484.4751288968878,4040522.575000044,0.5140617015062058,0.4859382984937943,0.23840409637593502,0.11510791366906475,0.11510791366906475,36.37697841726619,24.092086330935253,3.9151079136690647,tenure_band,3-6mo
578.0,330652.729999998,572.0635467127993,3967832.759999976,0.5446622062159536,0.45533779378404643,0.2044534566139646,0.06401384083044982,0.06401384083044982,20.15916955017301,14.346020761245676,3.295847750865052,package,essential_monthly_plan_v0
380.0,213879.254999999,562.8401447368394,2566551.059999988,0.6281543324685183,0.3718456675314817,0.16294879332838216,0.03684210526315789,0.03684210526315789,41.59736842105263,29.139473684210525,4.102631578947369,country_group,New Zealand
602.0,199873.506249998,332.0157911129535,2398482.074999976,0.38741297265591296,0.612587027344087,0.3267623856884654,0.20764119601328904,0.20764119601328904,19.227574750830566,10.350498338870432,3.9584717607973423,tenure_band,1-3mo
15000.0,197571.978333328,13.171465222221867,2370863.739999936,0.5961855012922558,0.4038144987077443,0.20542579948309772,0.12026666666666666,0.12026666666666666,13.792733333333333,10.0036,3.489,primary_plan_type,free
14133.0,197333.228333327,13.96258602797191,2367998.739999924,0.6211772164938517,0.3788227835061483,0.19007719236658585,0.10471945093044648,0.10471945093044648,14.360291516309347,10.526498266468549,3.5200594353640415,package,free
265.0,166688.039999997,629.0114716981019,2000256.4799999641,0.6359624299471206,0.3640375700528794,0.17165276387020836,0.06415094339622641,0.06415094339622641,67.32830188679246,52.27169811320755,4.203773584905661,country_group,Ireland
1982.0,90947.145833333,45.88655188361907,1091365.7499999958,0.1470688750413593,0.8529311249586408,0.48239343888355724,0.4011099899091826,0.4011099899091826,4.30978809283552,1.3440968718466195,2.863773965691221,tenure_band,<1mo
141.0,27520.324999999,195.17960992907092,330243.89999998803,0.6217340322409778,0.3782659677590222,0.1747106424227578,0.07092198581560284,0.07092198581560284,37.716312056737586,28.574468085106382,3.74468085106383,mrr_band,$100-300
141.0,1995.084999999,14.149539007085107,23941.019999988,0.49509964007852236,0.5049003599214776,0.2445133354579527,0.12056737588652482,0.12056737588652482,11.709219858156029,7.120567375886525,3.397163120567376,mrr_band,<$20
14479.0,0.0,0.0,0.0,0.5968920744694759,0.4031079255305241,0.20568684726172964,0.1216244215760757,0.1216244215760757,12.767387250500725,9.226880309413634,3.4851854409834933,mrr_band,free
